English,Portuguese
the,a
be,ser
and,e
of,de
to,para
a,uma
in,dentro
have,ter
you,vocês
it,isto
he,ele
for,por
they,elas
not,não
that,naquela
we,nós
I,eu
on,sobre
with,com
do,Faz
this,isto
as,Como
she,ela
at,no
but,mas
from,a partir de
by,por
will,vai
or,ou
say,dizer
go,vai
so,assim
all,tudo
about,cerca de
if,E se
one,1
would,seria
know,conhecer
there,lá
which,que
can,posso
get,pegue
think,acho
like,Como
more,mais
who,Who
when,quando
what,que
make,faça
time,Tempo
see,Vejo
up,acima
people,pessoas
some,algum
out,Fora
good,Boa
other,de outros
year,ano
well,Nós vamos
because,Porque
very,muito
just,somente
no,não
take,pegar
come,venha
could,poderia
use,usar
work,trabalhos
then,então
now,agora
also,tb
than,que
into,em
only,só
want,quer
look,Veja
new,novo
give,dar
first,primeiro
way,caminho
thing,coisa
find,achar
any,qualquer
over,sobre
right,direito
after,depois de
day,dia
where,Onde
most,a maioria
should,deve
need,necessidade
much,Muito de
how,Como as
back,costas
mean,significar
may,poderia
such,tal
here,aqui
really,realmente
even,até
company,companhia
many,muitos
child,filho
tell,contar
last,durar
call,ligar
down,baixa
before,antes de
man,cara
through,Através dos
show,exposição
life,vida
between,entre
lot,muitos
feel,sentir
place,"Lugar, colocar"
change,mudança
long,grandes
too,também
pause,pausa
still,ainda
write,escrever
problem,problema
talk,conversa
try,experimentar
something,algo
unclear,Não é claro
same,mesmo
great,excelente
number,número
leave,sair
little,pouco
both,Ambas
meet,Conheça
help,ajuda
own,ter
ask,perguntar
part,papel
country,país
put,colocar
point,ponto
start,começar
school,escola
each,cada
become,vir a ser
interest,interesse
old,velho
off,fora
another,outro
different,diferente
high,Alto
next,Next
include,incluir
late,atrasado
why,Por quê
live,viver
end,fim
world,mundo
week,semana
must,devo
while,enquanto
never,Nunca
study,estudar
kind,Gentil
report,relatório
play,Toque
house,lar
group,grupo
might,poderia
yes,sim
home,casa
course,curso
let,deixei
case,caso
system,sistema
again,novamente
woman,mulher
hear,ouvir
family,família
book,livro
seem,parecer
around,por aí
during,no decorrer
keep,continuar
big,grande
follow,Segue
every,todo
question,pergunta
under,debaixo
important,importante
always,sempre
friend,amigo
however,Contudo
set,definir
hand,mão
provide,providenciar
small,pequena
turn,vez
state,Estado
begin,começar
run,corre
since,Desde a
early,cedo
money,dinheiro
few,alguns
bring,trazer
market,mercado
information,em formação
area,área
move,jogada
business,o negócio
service,serviço
government,governo
fact,facto
issue,emitir
thank,obrigado
large,ampla
result,resultado
order,pedido
read,ler
month,mês
increase,aumentar
name,nome
love,amar
word,palavra
without,sem
open,abrir
pay,pagar
offer,oferta
build,Construir
hold,segure
happen,acontecer
against,contra
away,um jeito
job,trabalho
buy,Comprar
though,no entanto
today,hoje
example,exemplo
believe,acreditam
plan,plano
second,segundo
program,programa
student,aluna
form,Formato
young,jovem
lead,liderar
face,cara
close,Fechar
room,sala
hope,ter esperança
cost,custo
head,cabeça
understand,Compreendo
hour,hora
far,distante
spend,gastar
car,carro
actually,na verdade
level,nível
city,cidade
present,presente
less,menos
idea,idéia
reason,razão
learn,aprender
until,até
member,membro
process,processo
person,pessoa
experience,experiência
night,noite
support,"Apoio, suporte"
sure,certo
sort,organizar
quite,bastante
bad,ruim
once,uma vez
enough,o suficiente
although,Apesar
within,dentro de
age,era
term,prazo
whether,se
able,capaz
share,compartilhado
line,linha
product,produtos
speak,falar
side,lateral
train,Comboio
soon,em breve
low,baixo
price,preço
public,público
often,frequentemente
rate,avaliar
